,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,actual_income,predicted_income
25390,63, Private,20323, Some-college,10, Divorced, Other-service, Not-in-family, White, Female,40, United-States, <=50K, <=50K
27547,33, Private,79923, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,20, United-States, <=50K, >50K
32045,21, Private,145964, 12th,8, Never-married, Farming-fishing, Not-in-family, White, Male,40, United-States, <=50K, <=50K
25393,42, Private,173590, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States, <=50K, <=50K
25293,17, Private,241185, 12th,8, Never-married, Prof-specialty, Own-child, White, Male,20, United-States, <=50K, <=50K
31620,57, Private,316000, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K, <=50K
29249,47, Private,225065, 5th-6th,3, Separated, Sales, Unmarried, White, Female,40, Mexico, <=50K, <=50K
11834,23, Private,200677, 10th,6, Never-married, Machine-op-inspct, Not-in-family, White, Female,40, United-States, <=50K, <=50K
23583,42, Private,201466, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,45, United-States, >50K, >50K
2416,55, Self-emp-not-inc,59469, 9th,5, Married-civ-spouse, Farming-fishing, Husband, White, Male,25, United-States, <=50K, <=50K
16149,21,ffill,41356, Some-college,10, Never-married,ffill, Own-child, White, Female,35, United-States, <=50K, <=50K
30264,41, Private,212894, 5th-6th,3, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, Guatemala, <=50K, <=50K
27078,17, Private,152696, 12th,8, Never-married, Other-service, Own-child, White, Female,30, United-States, <=50K, <=50K
20260,34,ffill,93834, HS-grad,9, Separated,ffill, Own-child, White, Female,8, United-States, <=50K, <=50K
14743,30, Private,59496, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States, <=50K, <=50K
17849,57, Private,237691, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,40, Mexico, <=50K, <=50K
17793,25, Private,130302, HS-grad,9, Never-married, Handlers-cleaners, Unmarried, White, Male,40, United-States, <=50K, <=50K
10344,31, Self-emp-not-inc,226696, Assoc-voc,11, Married-civ-spouse, Farming-fishing, Husband, White, Male,60, United-States, >50K, <=50K
20147,18, Private,271935, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Female,40, United-States, <=50K, <=50K
8491,49, Private,105431, HS-grad,9, Divorced, Other-service, Not-in-family, Black, Female,40, United-States, <=50K, <=50K
5585,31, Private,34572, Assoc-voc,11, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,45, United-States, <=50K, <=50K
11452,23, Private,82889, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,16, United-States, <=50K, <=50K
2217,45, Private,142287, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States, >50K, >50K
21905,54, Private,227832, 12th,8, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K, <=50K
5333,49, Private,204057, Assoc-acdm,12, Divorced, Exec-managerial, Not-in-family, White, Female,40, United-States, <=50K, <=50K
10117,20, Private,122649, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,30, United-States, <=50K, <=50K
15875,30, Private,302473, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,40, United-States, <=50K, <=50K
5696,51, Private,240988, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,40, Philippines, <=50K, <=50K
21975,48, Private,395368, Some-college,10, Divorced, Handlers-cleaners, Other-relative, Black, Male,40, United-States, <=50K, <=50K
974,44, Private,32185, HS-grad,9, Never-married, Transport-moving, Unmarried, White, Male,70, United-States, <=50K, <=50K
23177,19,ffill,45643, Some-college,10, Never-married,ffill, Own-child, White, Female,25, United-States, <=50K, <=50K
19684,43, Private,96483, HS-grad,9, Divorced, Other-service, Own-child, Asian-Pac-Islander, Female,40, South, <=50K, <=50K
4909,41, Private,187322, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,48, United-States, <=50K, <=50K
22532,47, Private,60267, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,38, United-States, >50K, >50K
12932,69,ffill,163595, HS-grad,9, Widowed,ffill, Not-in-family, White, Female,20, United-States, <=50K, <=50K
5644,46, Federal-gov,31141, Some-college,10, Divorced, Transport-moving, Not-in-family, White, Male,40, United-States, <=50K, <=50K
8490,29, Private,246974, Assoc-voc,11, Never-married, Tech-support, Not-in-family, White, Male,40, United-States, <=50K, <=50K
26191,40, Private,210648, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,44, United-States, >50K, >50K
21712,27, Private,185670, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,60, United-States, >50K, >50K
10139,35, Private,106028, HS-grad,9, Divorced, Farming-fishing, Not-in-family, White, Male,65, United-States, <=50K, <=50K
31902,25, Private,74977, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,40, United-States, <=50K, >50K
24997,53, Private,123011, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,45, United-States, >50K, >50K
27786,37, Private,174844, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,17, United-States, <=50K, <=50K
30747,53, Private,110977, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States, >50K, >50K
31346,27, Self-emp-not-inc,153805, Some-college,10, Married-civ-spouse, Transport-moving, Other-relative, Other, Male,50, Ecuador, >50K, <=50K
8088,34, Private,183473, HS-grad,9, Divorced, Transport-moving, Own-child, White, Female,40, United-States, <=50K, <=50K
7893,30, Private,140869, HS-grad,9, Never-married, Other-service, Unmarried, White, Female,40, United-States, <=50K, <=50K
21487,33, Private,53042, 12th,8, Never-married, Craft-repair, Own-child, Black, Male,40, United-States, <=50K, <=50K
3134,48, Federal-gov,326048, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,44, United-States, >50K, >50K
26376,33, Local-gov,365908, HS-grad,9, Married-civ-spouse, Other-service, Husband, Black, Male,40, United-States, <=50K, <=50K
21843,33, Federal-gov,29617, Some-college,10, Divorced, Other-service, Not-in-family, Black, Male,40, United-States, <=50K, <=50K
26780,34, Private,203034, Bachelors,13, Separated, Sales, Not-in-family, White, Male,50, United-States, >50K, <=50K
25169,24, Private,65743, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,30, United-States, <=50K, <=50K
8799,58, Private,163113, HS-grad,9, Widowed, Sales, Not-in-family, White, Female,35, United-States, >50K, <=50K
811,22,ffill,219941, Some-college,10, Never-married,ffill, Own-child, Black, Male,40, United-States, <=50K, <=50K
26026,43, Private,188436, Prof-school,15, Divorced, Exec-managerial, Not-in-family, White, Male,40, United-States, <=50K, >50K
26991,40, State-gov,150874, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,40, United-States, <=50K, <=50K
5484,38, Private,104094, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, <=50K, >50K
6718,48, Self-emp-not-inc,30840, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,45, United-States, <=50K, >50K
8646,21, Private,73679, Some-college,10, Never-married, Exec-managerial, Own-child, White, Female,40, United-States, <=50K, <=50K
25213,18, Private,164441, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,38, United-States, <=50K, <=50K
21509,29, Private,138537, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,40, Laos, <=50K, <=50K
31505,29,ffill,297054, HS-grad,9, Divorced,ffill, Not-in-family, White, Male,40, United-States, <=50K, <=50K
1597,37, Private,910398, Bachelors,13, Never-married, Sales, Not-in-family, Black, Female,40, United-States, <=50K, <=50K
21142,63, Self-emp-inc,110610, 10th,6, Married-civ-spouse, Farming-fishing, Husband, White, Male,50, United-States, <=50K, <=50K
23243,31, Self-emp-inc,103435, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States, <=50K, >50K
20590,40, Private,285787, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, White, Male,40, United-States, >50K, >50K
18615,35, Private,127306, Assoc-voc,11, Never-married, Adm-clerical, Own-child, White, Female,40, United-States, >50K, <=50K
25123,24, Private,134787, Some-college,10, Never-married, Sales, Own-child, White, Female,40, United-States, <=50K, <=50K
14444,25, Private,1484705, Some-college,10, Divorced, Exec-managerial, Unmarried, White, Female,25, United-States, <=50K, <=50K
7645,29, Private,265638, Some-college,10, Never-married, Other-service, Unmarried, Black, Female,40, United-States, <=50K, <=50K
27039,26, Private,165235, Bachelors,13, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female,40, Thailand, <=50K, <=50K
5631,21, Private,249957, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Male,40, United-States, <=50K, <=50K
8655,17, Private,294485, 10th,6, Never-married, Other-service, Own-child, White, Male,30, United-States, <=50K, <=50K
2347,18, Private,675421, 9th,5, Never-married, Handlers-cleaners, Own-child, White, Male,40, United-States, <=50K, <=50K
31989,31, Federal-gov,130057, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,60, United-States, >50K, >50K
2064,60, Private,156889, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K, <=50K
656,70,ffill,167358, 9th,5, Widowed,ffill, Unmarried, White, Female,15, United-States, <=50K, <=50K
8767,22,ffill,120572, Some-college,10, Never-married,ffill, Own-child, White, Female,40, United-States, <=50K, <=50K
9688,19, Private,97215, Some-college,10, Separated, Sales, Unmarried, White, Female,25, United-States, <=50K, <=50K
27060,55, Private,408537, 9th,5, Divorced, Craft-repair, Unmarried, White, Female,37, United-States, >50K, <=50K
2966,27, Private,163942, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,35, Ireland, <=50K, <=50K
4366,42, Private,201785, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,50, United-States, >50K, >50K
5689,59, Private,380357, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,40, United-States, <=50K, <=50K
23734,31, Private,150309, Doctorate,16, Married-civ-spouse, Prof-specialty, Wife, White, Female,90, United-States, <=50K, >50K
30607,65,ffill,115513, Bachelors,13, Married-civ-spouse,ffill, Husband, White, Male,48, United-States, >50K, <=50K
5724,20, Private,161978, HS-grad,9, Separated, Machine-op-inspct, Own-child, White, Male,40, United-States, <=50K, <=50K
16664,47, Self-emp-inc,201699, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States, >50K, >50K
26286,42, Private,118212, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States, <=50K, <=50K
20733,61, Self-emp-not-inc,352448, Bachelors,13, Married-civ-spouse, Transport-moving, Husband, White, Male,60, United-States, <=50K, <=50K
22788,39, Self-emp-not-inc,106347, Some-college,10, Divorced, Sales, Unmarried, White, Male,47, United-States, <=50K, <=50K
7758,20, Federal-gov,147352, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,40, United-States, <=50K, <=50K
30899,50, Private,175029, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, United-States, >50K, <=50K
5761,20, Private,190457, HS-grad,9, Never-married, Other-service, Own-child, White, Female,30, United-States, <=50K, <=50K
6642,58, Private,178644, HS-grad,9, Widowed, Craft-repair, Unmarried, White, Male,40, United-States, <=50K, <=50K
6525,36, Private,82743, Assoc-acdm,12, Never-married, Transport-moving, Not-in-family, White, Male,55, Iran, <=50K, <=50K
7877,51, Private,186303, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, >50K, >50K
12692,56, Self-emp-not-inc,115439, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,60, United-States, <=50K, <=50K
12492,30, Private,402539, HS-grad,9, Never-married, Adm-clerical, Unmarried, White, Female,40, United-States, <=50K, <=50K
18897,43, State-gov,506329, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,40,ffill, >50K, <=50K
5181,43, State-gov,144811, Prof-school,15, Divorced, Prof-specialty, Not-in-family, White, Male,50, United-States, <=50K, >50K
6941,63, Private,102479, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,40, United-States, <=50K, <=50K
17264,29, Local-gov,220656, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Black, Male,40, United-States, >50K, >50K
14388,23, Private,150463, HS-grad,9, Never-married, Priv-house-serv, Unmarried, Other, Female,40, Guatemala, <=50K, <=50K
11408,21, Private,254904, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Female,30, United-States, <=50K, <=50K
31466,48, Private,207120, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, <=50K, >50K
27085,55, Self-emp-not-inc,422249, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,50, United-States, <=50K, <=50K
10679,27, Local-gov,331046, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,45, United-States, <=50K, <=50K
10219,18,ffill,137363, Some-college,10, Never-married,ffill, Own-child, White, Female,30, United-States, <=50K, <=50K
1933,25, Private,211231, HS-grad,9, Married-civ-spouse, Tech-support, Other-relative, White, Female,48, United-States, >50K, <=50K
7255,40, Self-emp-not-inc,55363, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K, <=50K
19665,33, Private,243674, HS-grad,9, Separated, Tech-support, Not-in-family, White, Male,46, United-States, <=50K, <=50K
24095,19, Private,87497, 11th,7, Never-married, Transport-moving, Other-relative, White, Male,10, United-States, <=50K, <=50K
26307,18, Private,77845, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,15, United-States, <=50K, <=50K
25128,50, Local-gov,96062, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,40, United-States, <=50K, <=50K
1489,37, Private,175232, Masters,14, Divorced, Exec-managerial, Unmarried, White, Male,60, United-States, >50K, >50K
11110,55, Private,220262, HS-grad,9, Divorced, Sales, Not-in-family, White, Female,40, United-States, <=50K, <=50K
3104,28, Private,206351, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, <=50K, >50K
19880,38,ffill,273285, 11th,7, Never-married,ffill, Not-in-family, White, Female,32, United-States, <=50K, <=50K
21357,62, State-gov,162678, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, <=50K, >50K
149,43,ffill,174662, Some-college,10, Divorced,ffill, Not-in-family, White, Female,40, United-States, <=50K, <=50K
17548,30, Private,169589, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States, <=50K, <=50K
26071,32, Private,167990, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, Ireland, <=50K, <=50K
4617,32, Federal-gov,72338, Assoc-voc,11, Never-married, Prof-specialty, Other-relative, Asian-Pac-Islander, Male,40, United-States, <=50K, <=50K
498,26, Private,64293, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Female,35, United-States, <=50K, <=50K
29940,24, Private,275884, HS-grad,9, Separated, Other-service, Unmarried, Black, Female,40, United-States, <=50K, <=50K
18174,36,ffill,214896, 9th,5, Divorced,ffill, Unmarried, White, Female,40, Mexico, <=50K, <=50K
23889,30, Private,112358, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,60, United-States, >50K, <=50K
21335,54, Private,175262, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K, <=50K
31628,32, Private,46691, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K, <=50K
20212,49, Private,184986, HS-grad,9, Divorced, Other-service, Not-in-family, White, Female,40, United-States, <=50K, <=50K
31978,51, Local-gov,108435, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,80, United-States, >50K, >50K
30084,51, Private,64643, HS-grad,9, Never-married, Farming-fishing, Not-in-family, White, Male,60,ffill, <=50K, <=50K
25375,20, Private,275357, Assoc-voc,11, Never-married, Tech-support, Own-child, White, Female,25, United-States, <=50K, <=50K
16346,54, Private,249322, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,50, United-States, >50K, >50K
26305,41, Private,111483, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Male,40, United-States, <=50K, <=50K
10509,37, Private,100508, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, >50K, <=50K
14164,66, Local-gov,376506, Doctorate,16, Divorced, Prof-specialty, Not-in-family, White, Female,40, United-States, <=50K, <=50K
20177,44, Self-emp-not-inc,111483, 10th,6, Never-married, Craft-repair, Own-child, White, Male,50, United-States, <=50K, <=50K
1592,20,ffill,206671, Some-college,10, Never-married,ffill, Own-child, White, Male,50, United-States, <=50K, <=50K
9193,46, Private,153501, HS-grad,9, Never-married, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Male,40, United-States, <=50K, <=50K
23851,28, Private,33374, 11th,7, Married-spouse-absent, Other-service, Unmarried, White, Female,35, United-States, <=50K, <=50K
21696,45, Private,28119, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,7, United-States, <=50K, <=50K
12348,52, Private,169182, 9th,5, Widowed, Other-service, Not-in-family, White, Female,25, Puerto-Rico, <=50K, <=50K
17177,23, Private,529223, Bachelors,13, Never-married, Sales, Own-child, Black, Male,10, United-States, <=50K, <=50K
23662,72, Private,497280, 9th,5, Widowed, Other-service, Unmarried, Black, Female,20, United-States, <=50K, <=50K
23721,32, Private,44675, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,65, United-States, >50K, >50K
20742,36, Private,177907, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,65, United-States, <=50K, <=50K
26600,33, Self-emp-not-inc,361817, HS-grad,9, Separated, Craft-repair, Unmarried, White, Male,50, United-States, <=50K, <=50K
25402,21,ffill,40052, Some-college,10, Never-married,ffill, Not-in-family, White, Male,45, United-States, <=50K, <=50K
23132,27, Private,195337, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White, Female,40, United-States, <=50K, <=50K
15723,29, Private,122112, Bachelors,13, Married-civ-spouse, Sales, Wife, White, Female,50, United-States, <=50K, >50K
5735,30, Private,174704, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,40, United-States, <=50K, <=50K
2517,51, Private,106728, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,60, United-States, >50K, >50K
30460,50, Self-emp-not-inc,371305, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,60, United-States, >50K, <=50K
27106,23, Private,199452, Some-college,10, Never-married, Other-service, Own-child, White, Female,40, United-States, <=50K, <=50K
20834,53, Private,126368, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,50, United-States, >50K, <=50K
30763,57,ffill,137658, HS-grad,9, Married-civ-spouse,ffill, Husband, Other, Male,5, Columbia, <=50K, <=50K
4616,36, Private,130926, Bachelors,13, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K, <=50K
4244,42, Self-emp-not-inc,183765, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White, Male,40,ffill, <=50K, <=50K
3769,27, Private,187392, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,40, United-States, <=50K, <=50K
9925,33, Self-emp-not-inc,361497, HS-grad,9, Never-married, Prof-specialty, Not-in-family, White, Male,40, United-States, <=50K, <=50K
22972,62, Local-gov,140851, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,40, United-States, >50K, <=50K
31609,45, Private,331482, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States, <=50K, >50K
12708,27, Private,214702, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,42, United-States, >50K, >50K
10988,30, Private,119411, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,40, United-States, <=50K, <=50K
18643,52, Private,389270, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,35, United-States, >50K, >50K
18814,33, Private,190511, 7th-8th,4, Divorced, Handlers-cleaners, Not-in-family, White, Male,35, United-States, <=50K, <=50K
13334,23, Local-gov,55890, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States, <=50K, <=50K
20583,54, Private,185407, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, >50K, <=50K
20564,22, Private,203182, Some-college,10, Separated, Sales, Unmarried, White, Female,43, United-States, <=50K, <=50K
17475,39, Self-emp-not-inc,218490, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,50,ffill, >50K, >50K
3122,26, Private,31290, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,40, United-States, >50K, <=50K
18183,52, State-gov,104280, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,50, United-States, <=50K, <=50K
9321,63,ffill,186809, Bachelors,13, Married-civ-spouse,ffill, Husband, White, Male,30, United-States, >50K, <=50K
21719,17, Private,202344, 10th,6, Never-married, Other-service, Own-child, White, Male,25, United-States, <=50K, <=50K
11957,38, Self-emp-not-inc,129573, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,40, United-States, >50K, <=50K
25594,21, Private,89991, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,40, United-States, <=50K, <=50K
9762,31, Private,381153, Some-college,10, Never-married, Exec-managerial, Unmarried, White, Male,60, United-States, <=50K, <=50K
18358,37, Private,196529, Some-college,10, Widowed, Other-service, Not-in-family, White, Female,40,ffill, <=50K, <=50K
9988,55, State-gov,337599, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Male,40, United-States, <=50K, <=50K
28250,21, Private,209955, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,48, United-States, <=50K, <=50K
23747,31, Private,254293, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Male,40, United-States, <=50K, <=50K
26832,34, Private,226443, HS-grad,9, Divorced, Adm-clerical, Own-child, White, Male,40, United-States, <=50K, <=50K
29818,73, Private,147551, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States, >50K, >50K
20363,28, Private,365411, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,42, United-States, <=50K, <=50K
18719,58, Local-gov,34878, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Female,50, United-States, <=50K, <=50K
3765,55, Private,171780, Assoc-acdm,12, Divorced, Sales, Unmarried, Black, Female,30, United-States, <=50K, <=50K
21548,40, Private,144928, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K, <=50K
1336,39, Private,174938, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,40, United-States, <=50K, <=50K
28079,21, Private,96844, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,20, United-States, <=50K, <=50K
18399,50, Private,166565, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States, <=50K, <=50K
29553,66, Local-gov,179285, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,20, United-States, <=50K, <=50K
17664,43, Local-gov,265698, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,45, United-States, >50K, >50K
8856,40, Private,186916, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, <=50K, >50K
558,34, Private,148291, HS-grad,9, Married-civ-spouse, Tech-support, Wife, White, Female,32, United-States, <=50K, >50K
24904,39, Private,333305, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,45, United-States, >50K, <=50K
1598,19, Private,176570, 11th,7, Never-married, Machine-op-inspct, Own-child, White, Male,60, United-States, <=50K, <=50K
24429,28, Private,200733, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K, <=50K
10229,21,ffill,207988, HS-grad,9, Married-civ-spouse,ffill, Other-relative, White, Female,35, United-States, <=50K, <=50K
26236,28, Private,55360, Some-college,10, Never-married, Sales, Not-in-family, Black, Male,50, United-States, <=50K, <=50K
26385,22, Private,214635, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Male,42, United-States, <=50K, <=50K
12141,64, Private,133166, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,5, United-States, <=50K, >50K
18988,56, Private,235205, HS-grad,9, Widowed, Other-service, Unmarried, White, Female,40, United-States, <=50K, <=50K
7309,64, Private,174826, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Female,40, United-States, <=50K, <=50K
26020,38, Self-emp-not-inc,127772, HS-grad,9, Divorced, Farming-fishing, Own-child, White, Male,50, United-States, <=50K, <=50K
20639,42, Local-gov,182302, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K, <=50K
32048,37, Private,180342, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,45, United-States, <=50K, <=50K
3788,52, Private,164135, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States, >50K, >50K
16546,25, Private,295108, HS-grad,9, Never-married, Handlers-cleaners, Unmarried, Black, Female,25, United-States, <=50K, <=50K
4355,37, Private,143058, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,50, United-States, <=50K, <=50K
23109,43, Self-emp-not-inc,73883, Bachelors,13, Divorced, Sales, Unmarried, White, Male,45, United-States, <=50K, >50K
14293,49, Private,143459, 9th,5, Separated, Handlers-cleaners, Own-child, White, Male,38, United-States, <=50K, <=50K
22238,23, Private,64520, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Male,30, United-States, <=50K, <=50K
3524,21, Private,197387, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,20, United-States, <=50K, <=50K
6684,47, Private,454989, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,40, United-States, >50K, >50K
13445,30, Private,227359, Some-college,10, Never-married, Craft-repair, Unmarried, White, Male,40, United-States, <=50K, <=50K
28236,25, Private,44861, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,40, United-States, <=50K, <=50K
12732,58, Private,119386, Assoc-voc,11, Divorced, Adm-clerical, Not-in-family, White, Female,60, United-States, <=50K, <=50K
26430,23, Private,69847, Bachelors,13, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,20, United-States, <=50K, <=50K
22571,61, Self-emp-inc,187124, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,20, United-States, >50K, >50K
23799,41, Self-emp-not-inc,145441, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,40, Yugoslavia, <=50K, <=50K
24849,57, Private,121362, Some-college,10, Widowed, Adm-clerical, Unmarried, White, Female,38, United-States, >50K, <=50K
6213,23, Private,260254, HS-grad,9, Never-married, Sales, Own-child, White, Male,40, United-States, <=50K, <=50K
5915,39, Private,186183, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, >50K, <=50K
15216,45, Private,81132, HS-grad,9, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,40, Philippines, <=50K, <=50K
18739,20, Private,219262, Some-college,10, Never-married, Sales, Own-child, White, Male,40, United-States, <=50K, <=50K
8559,43, Federal-gov,262233, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,40, United-States, >50K, <=50K
31250,39, Private,271521, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,48, Philippines, >50K, >50K
16194,19, State-gov,536725, Some-college,10, Never-married, Adm-clerical, Other-relative, White, Female,15, Japan, <=50K, <=50K
6061,26, State-gov,105787, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Male,40, United-States, <=50K, <=50K
